epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,295.076,0.98945,2.44082,1.49549,0.78829,0.65482,0.7552,0.5998,0.79498,1.23032,1.61517,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583,0.00997748,0.00332583
2,520.16,0.87485,1.21714,1.35998,0.69816,0.60545,0.65661,0.50243,0.90263,1.62013,1.75294,0.0197797,0.00659323,0.0197797,0.00659323,0.0197797,0.00659323,0.0197797,0.00659323
3,736.281,0.91719,1.23906,1.38283,0.55035,0.67917,0.65622,0.48923,0.95218,1.53992,1.81376,0.0293839,0.00979464,0.0293839,0.00979464,0.0293839,0.00979464,0.0293839,0.00979464
4,944.971,0.92976,1.2195,1.38351,0.74759,0.69041,0.72382,0.54814,0.93211,1.23786,1.81285,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1152.46,0.88845,1.10619,1.35557,0.74705,0.82568,0.79956,0.63898,0.78386,0.88723,1.597,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1363.05,0.85646,1.03546,1.32798,0.82389,0.82866,0.85299,0.68651,0.78919,0.85154,1.59181,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1576.75,0.82916,0.95707,1.30838,0.87588,0.80467,0.85288,0.69815,0.74817,0.76399,1.51368,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1792.55,0.81541,0.90408,1.29804,0.82683,0.84122,0.88052,0.71405,0.75414,0.76195,1.53135,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2009.38,0.80652,0.87521,1.29021,0.8665,0.85963,0.89075,0.72656,0.76553,0.69599,1.54127,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2228.37,0.79065,0.83689,1.28295,0.85528,0.86962,0.87234,0.71688,0.72717,0.72686,1.48903,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2442.92,0.77981,0.80821,1.27107,0.83556,0.87187,0.88882,0.72843,0.7308,0.68779,1.48874,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2658.78,0.77133,0.79001,1.26411,0.88979,0.89115,0.89253,0.73891,0.72333,0.68413,1.48129,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2874.13,0.77087,0.7748,1.26344,0.89638,0.89474,0.89395,0.74408,0.71679,0.63479,1.47502,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3090.17,0.7653,0.76136,1.26356,0.92148,0.88594,0.89677,0.74859,0.717,0.58973,1.46999,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3305.12,0.75668,0.73872,1.25178,0.91909,0.9036,0.89975,0.74992,0.7199,0.6215,1.46835,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3518.03,0.74944,0.72653,1.2481,0.93069,0.91158,0.91882,0.76915,0.70961,0.56285,1.4613,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3731.47,0.74416,0.6978,1.24708,0.88716,0.89337,0.89922,0.7554,0.71175,0.65036,1.45079,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3940.97,0.74452,0.70351,1.24555,0.92934,0.9049,0.91381,0.77391,0.69098,0.57588,1.43155,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4154.52,0.74046,0.69373,1.2403,0.87866,0.91878,0.9093,0.76433,0.70888,0.6273,1.4528,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4365.37,0.73555,0.67263,1.2383,0.85797,0.91267,0.90495,0.76716,0.69111,0.57799,1.4308,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4577.59,0.73579,0.6609,1.24064,0.88477,0.91268,0.90517,0.76274,0.69039,0.62429,1.42355,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4792.76,0.73027,0.64416,1.23414,0.93903,0.92685,0.92079,0.77357,0.69466,0.54264,1.43248,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5013.48,0.72067,0.6403,1.23214,0.91541,0.90507,0.9198,0.77865,0.68824,0.53118,1.42292,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5232.66,0.71841,0.62635,1.22945,0.93983,0.92519,0.9094,0.77095,0.68784,0.54347,1.42452,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5450.63,0.72068,0.62619,1.22627,0.92397,0.92874,0.9212,0.77668,0.69783,0.52907,1.43143,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5665.44,0.71752,0.6087,1.22168,0.91547,0.92508,0.91347,0.78065,0.68136,0.56503,1.41054,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5879.42,0.70704,0.60518,1.22192,0.92949,0.93805,0.90989,0.77401,0.6774,0.53553,1.40827,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6093.66,0.71211,0.60267,1.21881,0.96004,0.92953,0.91366,0.78003,0.68262,0.53047,1.41537,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6307.38,0.70989,0.59406,1.22033,0.91692,0.93454,0.92516,0.78838,0.67716,0.53427,1.40859,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6521.07,0.70382,0.57987,1.21655,0.93159,0.92844,0.91185,0.78129,0.68559,0.5318,1.42184,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6737.27,0.70342,0.5788,1.21593,0.90516,0.93718,0.91656,0.78744,0.67692,0.5146,1.41092,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6951.99,0.70043,0.56161,1.2142,0.9412,0.94105,0.9131,0.77971,0.6793,0.52395,1.4078,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7164.4,0.69835,0.55658,1.21442,0.91161,0.93853,0.91883,0.78265,0.6795,0.52675,1.40577,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7377.89,0.69877,0.5685,1.21458,0.91428,0.93012,0.91581,0.78253,0.67702,0.51885,1.40592,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7589.37,0.69725,0.55052,1.20993,0.92861,0.93492,0.92131,0.79248,0.66433,0.51902,1.38661,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7806.3,0.6968,0.55473,1.20792,0.90458,0.94398,0.91666,0.78653,0.66928,0.52015,1.39531,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8021.89,0.69035,0.53983,1.20817,0.9154,0.93688,0.91724,0.7861,0.66868,0.52866,1.3965,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8239.71,0.68307,0.53158,1.20621,0.90862,0.94107,0.91056,0.78733,0.66445,0.52832,1.38812,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8456.03,0.68467,0.53043,1.20467,0.90587,0.93299,0.91351,0.78181,0.66615,0.52828,1.39176,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8668.39,0.68107,0.52781,1.20115,0.96519,0.93703,0.93114,0.79922,0.66499,0.49705,1.39046,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8884.52,0.67986,0.52232,1.20233,0.94392,0.92955,0.91896,0.79564,0.66401,0.50691,1.386,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9100.52,0.68265,0.52803,1.19921,0.96428,0.932,0.93031,0.7938,0.66747,0.49621,1.38962,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9316.64,0.6844,0.51193,1.20048,0.9687,0.9295,0.91757,0.79281,0.66422,0.49443,1.38573,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9531.35,0.67472,0.49989,1.19375,0.90133,0.93899,0.91981,0.79193,0.66654,0.50706,1.39368,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9745.03,0.67677,0.50589,1.19644,0.92044,0.93625,0.919,0.78961,0.66141,0.53034,1.38442,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9959.68,0.67524,0.49275,1.19471,0.94434,0.93528,0.9176,0.79242,0.65928,0.5024,1.37812,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10175.5,0.66331,0.48852,1.19099,0.9656,0.93998,0.92269,0.79516,0.66149,0.50268,1.38927,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10391.5,0.6736,0.48855,1.2007,0.94132,0.94249,0.91981,0.79341,0.66146,0.51337,1.38173,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10606.6,0.66687,0.48397,1.18874,0.93912,0.93772,0.93519,0.80485,0.65953,0.48041,1.37896,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10818.8,0.66334,0.47663,1.18844,0.91005,0.95599,0.92477,0.79231,0.6639,0.4999,1.38612,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11030.3,0.66552,0.46712,1.19039,0.95454,0.93869,0.9137,0.78651,0.66412,0.49823,1.38475,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11244.1,0.65586,0.47368,1.18582,0.95276,0.94482,0.92108,0.79616,0.66284,0.51904,1.38391,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11458,0.6594,0.46017,1.18745,0.95582,0.94491,0.92602,0.79975,0.66146,0.50248,1.38195,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11673.9,0.66066,0.4636,1.18327,0.95192,0.94372,0.9199,0.79842,0.65842,0.46814,1.37835,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11887.4,0.65337,0.44814,1.17877,0.93593,0.95029,0.91767,0.79352,0.65944,0.51604,1.38143,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12104.1,0.64916,0.44262,1.1801,0.96218,0.94024,0.92311,0.79602,0.65583,0.50499,1.37788,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12317.9,0.65679,0.447,1.18069,0.94375,0.94315,0.91917,0.79652,0.65502,0.4941,1.37737,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12532.7,0.65171,0.45046,1.18249,0.9632,0.94223,0.92348,0.79956,0.65839,0.49022,1.381,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12744.7,0.64905,0.43777,1.1767,0.91073,0.94096,0.92502,0.79706,0.65349,0.49281,1.37156,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12960.7,0.65052,0.44619,1.17901,0.95193,0.9364,0.9176,0.79741,0.65501,0.485,1.37368,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
